name,tier,trending,tag,composite_score,efficacy,safety,research,onset,cost,drug_interaction_inverse,description,dose,tips,cycle
Caralluma fimbriata,t3,False,Appetite · Weight management,56,2,4,2,2,3,5,"A succulent plant traditionally eaten as a famine food in India, studied as an appetite suppressant. Two RCTs found modest reductions in waist circumference and hunger scores over 60 days. Weight loss effects were small and inconsistent. Appears safe with no serious adverse events, but larger and longer trials are needed.","500–1,000 mg/day Caralluma fimbriata extract; modest appetite effects in small trials",Take with a glass of water 30 min before meals. Can cause mild nausea initially — take with a small snack if needed.,
Gamma oryzanol,t3,False,Cholesterol · Menopause · Athletic,56,2,4,2,2,3,5,"A mixture of compounds from rice bran oil studied for cholesterol reduction, menopausal hot flashes, and athletic performance. Japanese trials from the 1980s-90s showed modest cholesterol-lowering. A few trials found reduced hot flash severity. Muscle-building claims are not supported by well-designed human studies. Generally very safe with no serious side effects.",100–600 mg/day gamma oryzanol from rice bran; modest cholesterol and menopause benefits,Take with a meal. Can be split into two daily doses. No significant food or drug interactions at standard doses.,
NADH (Coenzyme 1),t3,False,Energy · Chronic fatigue · Cognition,56,2,4,2,3,2,5,"The reduced form of NAD+ that plays a central role in cellular energy production. A few small trials suggest benefit for chronic fatigue syndrome, with one showing significantly improved fatigue scores versus placebo. Also studied for jet lag recovery. The sublingual form absorbs better than oral tablets. Evidence base is very limited and mostly from small, older studies. Expensive relative to the strength of evidence.",5–10 mg/day sublingual on an empty stomach; limited evidence beyond chronic fatigue syndrome,Take on an empty stomach in the morning — sublingual form absorbs better. Avoid with coffee or acidic drinks immediately after. Do not take in the evening as it may cause alertness.,
Creatine HCl,t3,False,Performance · Solubility · GI tolerance,56,2,4,2,3,2,5,"A more water-soluble form of creatine marketed as requiring smaller doses than monohydrate. While it does dissolve better, no clinical trial has demonstrated it is more effective than plain creatine monohydrate, which remains the gold standard with hundreds of studies behind it. May cause less bloating in people sensitive to monohydrate. Significantly more expensive per effective dose. Choose monohydrate unless you have specific tolerance issues.",1.5–3 g/day; no evidence it outperforms creatine monohydrate at equivalent doses,Can be taken with water at any time — dissolves more easily than monohydrate. With or without food. Creatine monohydrate is preferred by most researchers and costs less.,
California poppy (Eschscholzia californica),t3,False,Anxiety · Sleep · Mild sedation,56,2,4,2,3,3,4,"A gentle sedative herb used in European herbal medicine for mild anxiety and sleep difficulties. Contains alkaloids that modulate GABA and opioid receptors at very low potency. EMA classifies it as a traditional herbal medicine for mild nervous tension and sleep. Very few clinical trials exist, with most evidence based on traditional use. Non-addictive and very safe at recommended doses.",300–600 mg/day extract or 2–3 cups tea before bed; traditional use — limited clinical trial data,Take 30–60 min before bed as tea or capsule. Avoid combining with other sedatives or alcohol. Safe for most adults at recommended doses.,
Shiitake extract (lentinan),t3,False,Immunity · Cancer adjunct · Cholesterol,56,2,4,2,2,3,5,"Contains lentinan, a beta-glucan approved as an injectable cancer treatment in Japan. Oral shiitake extract modestly boosts immune markers and reduces cholesterol in small trials. The injectable form has stronger evidence than oral supplements. Regular shiitake consumption as food provides similar benefits. Very safe — one of the most commonly eaten mushrooms worldwide. Rare cases of shiitake dermatitis from raw consumption.","5–10 g/day dried shiitake or 500–1,000 mg extract; eating the mushroom is as effective as supplements",Eat cooked shiitake mushrooms as a regular part of meals or take extract with water. Always cook shiitake — raw consumption can cause a skin rash.,
L-Serine,t3,False,Neuroprotection · ALS · Sleep,56,2,4,2,2,3,5,"A non-essential amino acid that plays a critical role in brain phospholipid synthesis and nerve cell function. A Dartmouth safety/tolerability trial (Levine et al., JAMA Neurology 2017) showed 30 g/day was tolerated in ALS patients, with preliminary hints of slowed ALSFRS-R decline versus historical controls — no controlled efficacy trial has replicated this, so treat as experimental. Also a precursor to glycine and D-serine, both important for sleep and NMDA receptor function. Clinical evidence remains early-stage with only small trials. Very safe even at high doses.",15–30 g/day in ALS trials (high dose); 3–5 g/day for general neuroprotection; very early-stage evidence,Dissolve powder in water or juice. Can be taken with or without food. Evening may suit better as it supports sleep-related glycine and D-serine pathways.,
Mixed carotenoids,t3,False,Antioxidant · Eye health · Skin,56,2,4,2,2,3,5,"A blend of beta-carotene, lycopene, lutein, and zeaxanthin mimicking the carotenoid profile of colourful vegetables. Isolated beta-carotene caused harm in smoker trials but mixed carotenoids from food are associated with health benefits. Avoids single-carotenoid risk while providing broad antioxidant coverage. Generally very safe.",15–25 mg/day mixed carotenoids from natural sources; safer than isolated beta-carotene supplementation,Take with a fatty meal for best absorption — carotenoids are fat-soluble. Avoid high-dose isolated beta-carotene if you smoke.,
White mulberry leaf (Morus alba),t3,False,Blood sugar · Alpha-glucosidase inhibitor,56,2,4,2,3,3,4,"Contains 1-deoxynojirimycin (DNJ), a natural alpha-glucosidase inhibitor that works similarly to the prescription diabetes drug acarbose. Small trials show it significantly reduces post-meal blood sugar spikes when taken before carbohydrate-rich meals. The mechanism is well characterised. May cause gas and bloating as undigested carbs ferment in the colon, similar to acarbose.","1,000–3,000 mg/day leaf extract before carbohydrate meals; may cause gas similar to acarbose",Take 15–30 min before carbohydrate-heavy meals. Start at a low dose to assess tolerance — it can cause gas and bloating initially. Avoid with diabetes medication without monitoring.,
Phycocyanin (spirulina blue pigment),t3,False,Antioxidant · Anti-inflammatory · Recovery,56,2,4,2,3,2,5,The blue pigment in spirulina responsible for most of its antioxidant effects. Small trials show it reduces exercise-induced oxidative stress and muscle damage. Acts as a COX-2 inhibitor similar to ibuprofen in lab studies. More potent gram-for-gram than whole spirulina. Very safe; an emerging supplement with limited but promising human data.,100–200 mg/day extracted phycocyanin; more concentrated than whole spirulina,Take with water at any time of day. Store away from heat and light as blue pigments degrade easily. Can be mixed into a cold drink or smoothie.,
Ginkgo biloba EGb 761,t3,False,Dementia symptoms · Circulation · Cognitive aging,56,3,3,3,2,3,2,The pharmaceutical-grade EGb 761 extract is distinct from generic ginkgo with rigorous standardisation. Multiple European trials found 240 mg/day significantly improves dementia symptoms. A 2023 Cochrane update noted modest benefits. Anticoagulant properties require supervision with blood thinners. Generic ginkgo lacks equivalent evidence.,240 mg/day EGb 761 pharmaceutical-grade extract (not generic ginkgo); divided into 2 daily doses,Take with food to reduce stomach upset. Space 2 hours from blood-thinning medications. Medical supervision if on warfarin or aspirin. Allow 6–12 weeks for cognitive benefits.,
Andrographis (maintenance dose),t3,False,Immunity · Anti-inflammatory · Adaptogen,56,2,4,2,3,3,4,"At lower maintenance doses taken daily, andrographis acts as an immune modulator and mild adaptogen. Evidence at maintenance doses is weaker than the acute-cold treatment evidence. Small prevention trials (mostly with Kan Jang combination products) suggest modest reductions in upper-respiratory infection incidence with winter prophylaxis, but results are heterogeneous and mostly Russian/Scandinavian populations. Generally well tolerated for up to 3 months of daily use. Not for people on immunosuppressants.","100–200 mg/day standardised extract for immune maintenance; stronger evidence at 1,200 mg/day for acute illness",Take with food and water. Not for people on immunosuppressants. Allow 3–4 weeks for immune priming effect. Cycle off after 3 months and monitor for any liver enzyme changes.,
